"","City","ProtestSize"
"849","Edgewater, IL",NA
"850","Edgewater, MD",300
"851","Edgewood, MD",24
"852","Edina, MN",NA
"853","Edinburg, TX",550
"854","Edison, NJ",200
"855","Edmond, OK",62
"856","Edmonds, WA",NA
"857","Edna, TX",80
"858","Edwardsville, IL",225
"859","Effingham, IL",NA
"860","El Cajon, CA",300
"861","El Campo, TX",NA
"862","El Centro, CA",200
"863","El Cerito, CA",NA
"864","El Cerrito, CA",NA
"865","El Dorado, AK",NA
"866","El Dorado, AR",NA
"867","El Monte, CA",NA
"868","El Paso, TX",NA
"869","El Segundo, CA",100
"870","Elburn, IL",200
"871","Elgin, IL",NA
"872","Elizabeth City, NC",200
"873","Elizabeth, NJ",200
"874","Elizabethton, TN",NA
"875","Elizabethtown, KY",NA
"876","Elizabethtown, NY",80
"877","Elizabethtown, PA",250
"878","Elk Grove Village, IL",90
"879","Elkhart, IN",150
"880","Elkin, NC",NA
"881","Elko, NV",NA
"882","Elkton, MD",NA
"883","Ellensburg, WA",NA
"884","Ellington, CT",NA
"885","Ellsworth, ME",NA
"886","Ellwood City, PA",45.3333333333333
"887","Elmhurst, IL",200
"888","Elmira, NY",NA
"889","Elsmere, KY",200
"890","Ely, WI",250
"891","Elyria, OH",8
"892","Emmaus, PA",NA
"893","Emporia, KS",NA
"894","Encinitas, CA",NA
"895","Encino, CA",NA
"896","Endicott, NY",35
"897","Enfield, CT",350
"898","Englewood, CO",NA
"899","Englewood, NJ",600
"900","Englewood, OH",200
"901","Enid, OK",NA
"902","Enterprise, OR",200
"903","Ephrata, PA",NA
"904","Erie, CO",1000
"905","Erie, PA",NA
"906","Erlanger, KY",24
"907","Escanaba, MI",118
"908","Escondido, CA",212
"909","Española, NM",NA
"910","Essex Junction, VT",NA
"911","Essex, MA",NA
"912","Essex, VT",300
"913","Estacada, OR",NA
"914","Estes Park, CO",NA
"915","Euclid, OH",NA
"916","Eugene, OR",NA
"917","Eureka, CA",70
"918","Eureka, MO",NA
"919","Evans, GA",NA
"920","Evanston, IL",1122
"921","Evansville, IN",NA
"922","Everett, MA",150
"923","Everett, WA",NA
"924","Evergreen Park, IL",200
"925","Evergreen, CO",NA
"926","Exeter, PA",85
"927","Exmore, VA",150
"928","Fair Lawn, NJ",40
"929","Fairbanks, AK",NA
"930","Fairborn, OH",NA
"931","Fairfax, CA",NA
"932","Fairfax, VA",NA
"933","Fairfield, CA",NA
"934","Fairfield, CT",NA
"935","Fairfield, IA",400
"936","Fairfield, OH",NA
"937","Fairmont, NC",50
"938","Fairmont, WV",NA
"939","Fairport, NY",6
"940","Fall River, MA",NA
"941","Fallon, NV",70
"942","Falls Church, MD",NA
"943","Falls Church, VA",2000
"944","Fallston, MD",100
"945","Falmouth, MA",NA
"946","Fargo, ND",NA
"947","Farmingdale, NY",NA
"948","Farmington, CT",180
"949","Farmington, MO",NA
"950","Farmington, NM",NA
"951","Farmville, VA",80
"952","Farrell, PA",NA
"953","Fayetteville, AR",NA
"954","Fayetteville, NC",NA
"955","Fayetteville, WV",40
"956","Federal Way, WA",200
"957","Felton, CA",NA
"958","Fergus Falls, MN",150
"959","Ferguson, MO",NA
"960","Ferndale, MI",1100
"961","Ferndale, WA",NA
"962","Ferrisburgh, VT",NA
"963","Festus, MO",200
"964","Findlay, OH",NA
"965","Fircrest, WA",NA
"966","Fishers, IN",300
"967","Fitchburg, MA",1000
"968","Flagstaff, AZ",NA
"969","Fleetwood, PA",54
"970","Flemington, NJ",70
"971","Flint, MI",NA
"972","Flora, IL",NA
"973","Floral Park, NY",100
"974","Florence, AL",NA
"975","Florence, MA",NA
"976","Florence, OR",NA
"977","Florence, SC",825
"978","Floresville, TX",NA
"979","Florissant, MO",NA
"980","Flossmoor, IL",200
"981","Flower Mound, TX",NA
"982","Floyd, VA",24
"983","Flushing, MI",300
"984","Folsom, CA",200
"985","Folsom, PA",NA
"986","Fond du Lac, WI",NA
"987","Fontana, CA",200
"988","Ford Mill, SC",NA
"989","Ford Wayne, IN",NA
"990","Forest City, IA",NA
"991","Forest Grove, OR",NA
"992","Forest Lake, MN",300
"993","Fort Bragg, CA",150
"994","Fort Bragg, NC",NA
"995","Fort Collins, CO",NA
"996","Fort Dodge, IA",100
"997","Fort Edward, NY",NA
"998","Fort Kent, ME",50
"999","Fort Lauderdale, FL",NA
"1000","Fort Mill, SC",1000
"1001","Fort Mitchell, KY",200
"1002","Fort Monroe, VA",200
"1003","Fort Myers, FL",NA
"1004","Fort Payne, AL",40
"1005","Fort Pierce, FL",200
"1006","Fort Plain, NY",12
"1007","Fort Smith, AR",NA
"1008","Fort Walton Beach, FL",NA
"1009","Fort Washington, CA",350
"1010","Fort Washington, PA",325
"1011","Fort Wayne, IN",NA
"1012","Fort Worth, TX",NA
"1013","Fortuna, CA",300
"1014","Fostoria, OH",24
"1015","Fountain Hills, AZ",52.5
"1016","Fox Point, WI",150
"1017","Foxboro, MA",100
"1018","Framingham, MA",NA
"1019","Frankford, DE",25
"1020","Frankfort, KY",NA
"1021","Franklin Park, PA",100
"1022","Franklin Square, NY",24
"1023","Franklin, KY",NA
"1024","Franklin, NJ",200
"1025","Franklin, PA",80
"1026","Franklin, TN",NA
"1027","Franklin, VA",NA
"1028","Franklinville, NJ",NA
"1029","Franklinville, NY",NA
"1030","Frankton, IN",100
"1031","Fraser, CO",40
"1032","Frazier Park, CA",NA
"1033","Frederick, MD",NA
"1034","Fredericksburg, TX",5
"1035","Fredericksburg, VA",NA
"1036","Freeburg, IL",300
"1037","Freehold, NJ",168
"1038","Freemont, CA",500
"1039","Freeport, IL",200
"1040","Freeport, NY",199.333333333333
"1041","Freeport, TX",200
"1042","Fremont, CA",NA
"1043","Fremont, NE",NA
"1044","Fremont, OH",200
"1045","Fresno, CA",NA
"1046","Friday Harbor, WA",350
"1047","Fridley, MN",6
"1048","Friendswood, TX",300
"1049","Frisco, TX",NA
"1050","Front Royal, VA",200
"1051","Frontenac, MO",1000
"1052","Frostburg, MD",NA
"1053","Fryeburg, ME",15
"1054","Fullerton, CA",941.666666666667
"1055","Fulton, MO",84.6666666666667
"1056","Gadsden County, FL",200
"1057","Gadsden, AL",NA
"1058","Gaffney, SC",NA
"1059","Gahanna, OH",NA
"1060","Gainesville, FL",NA
"1061","Gainesville, GA",NA
"1062","Gainesville, TX",15
"1063","Gainesville, VA",500
"1064","Gaithersberg, MD",200
"1065","Gaithersburg, MD",NA
"1066","Galax, VA",70
"1067","Galesburg, IL",NA
"1068","Gallipolis, OH",200
"1069","Galloway, NJ",36
"1070","Gallup, NM",NA
"1071","Galveston, TX",NA
"1072","Garberville, CA",100
"1073","Garden City, KS",600
"1074","Garden City, NY",NA
"1075","Gardena, CA",100
"1076","Gardner, KS",225
"1077","Gardner, MA",1000
"1078","Garrettsville, OH",NA
"1079","Gary, IN",NA
"1080","Gastonia, NC",NA
"1081","Gaylord, MI",100
"1082","Geneseo, NY",100
"1083","Geneva, IL",100
"1084","Geneva, NY",150
"1085","Georgetown, IL",60
"1086","Georgetown, KY",24
"1087","Georgetown, SC",91.3333333333333
"1088","Georgetown, TX",NA
"1089","Germantown, MD",NA
"1090","Germantown, OH",24
"1091","Germantown, TN",26
"1092","Gettysburg, PA",NA
"1093","Gettysburg, SD",NA
"1094","Gibson City, IL",100
"1095","Gifford, FL",NA
"1096","Gig Harbor, WA",NA
"1097","Gilbert, AZ",NA
"1098","Gillette, WY",NA
"1099","Gilroy, CA",200
"1100","Gladwin, MI",88
"1101","Glasgow, KY",200
"1102","Glassboro, NJ",NA
"1103","Glastonbury, CT",NA
"1104","Glen Cove, NY",1000
"1105","Glen Ellyn, IL",350
"1106","Glen Ridge, NJ",100
"1107","Glenarden, MD",NA
"1108","Glendale, CA",NA
"1109","Glendale, MO",100
"1110","Glendora, CA",100
"1111","Glenolden, PA",200
"1112","Glens Falls, NY",681.666666666667
"1113","Glenshaw, PA",85
"1114","Glenview, IL",315
"1115","Glenwood Springs, CO",85
"1116","Gloucester City, NJ",NA
"1117","Gloucester, MA",185.666666666667
"1118","Gloucester, VA",NA
"1119","Golden, CO",200
"1120","Goldsboro, NC",300
"1121","Gonzales, LA",NA
"1122","Gorham, ME",400
"1123","Gorham, NH",50
"1124","Goshen, IN",NA
"1125","Goshen, NY",NA
"1126","Grafton, MA",100
"1127","Grafton, WI",300
"1128","Graham, NC",NA
"1129","Granbury, TX",150
"1130","Granby, CT",NA
"1131","Grand Blanc, MI",350
"1132","Grand Chute, WI",50
"1133","Grand Forks, ND",NA
"1134","Grand Island, NE",NA
"1135","Grand Junction, CO",NA
"1136","Grand Marais, MN",NA
"1137","Grand Prairie, TX",NA
"1138","Grand Rapids, MI",NA
"1139","Grandview, MO",NA
"1140","Grandview, WA",41
"1141","Granite Falls, WA",NA
"1142","Grants Pass, OR",NA
"1143","Granville, OH",250
"1144","Grasonville, MD",NA
"1145","Grass Valley, CA",30
"1146","Grayslake, IL",400
"1147","Grayson, KY",NA
"1148","Grayton Beach, FL",NA
"1149","Great Barrington, MA",1166.66666666667
"1150","Great Bend, KS",40
"1151","Great Falls, MT",350
"1152","Great Neck Estates, NY",700
"1153","Greece, NY",NA
"1154","Greeley, CO",300
"1155","Green Bay, MN",NA
"1156","Green Bay, WI",NA
"1157","Green Valley, AZ",NA
"1158","Greencastle, IN",70
"1159","Greencastle, PA",NA
"1160","Greeneville, TN",NA
"1161","Greenfield, IN",NA
"1162","Greenfield, MA",NA
"1163","Greenlawn, NY",NA
"1164","Greensboro, NC",NA
"1165","Greensburg, PA",NA
"1166","Greenville, KY",NA
"1167","Greenville, MS",NA
"1168","Greenville, NC",NA
"1169","Greenville, NY",150
"1170","Greenville, PA",NA
"1171","Greenville, SC",NA
"1172","Greenville, TX",200
"1173","Greenwich, CT",295
"1174","Greenwich, NY",NA
"1175","Greenwood Village, CO",NA
"1176","Greenwood, IN",500
"1177","Greenwood, MS",100
"1178","Greenwood, SC",100
"1179","Gresham, OR",NA
"1180","Griffith, IN",NA
"1181","Griswold, CT",100
"1182","Grosse Ile, MI",NA
"1183","Grosse Point Woods, MI",100
"1184","Grosse Point, MI",150
"1185","Grosse Pointe City, MI",42
"1186","Groton, CT",1000
"1187","Grottoes, VA",38
"1188","Grove City, OH",NA
"1189","Grove City, PA",127.5
"1190","Grove, OK",150
"1191","Grovetown, GA",50
"1192","Grundy Center, IA",NA
"1193","Guilford, CT",NA
"1194","Guilford, ME",1700
"1195","Gulfport, FL",40
"1196","Gulfport, MS",NA
"1197","Gunnison, CO",250
"1198","Gustine, CA",NA
"1199","Hackensack, NJ",NA
"1200","Hackettstown, NJ",50
"1201","Haddam Killingworth, CT",NA
"1202","Haddonfield, NJ",300
"1203","Hagåtña, GU",NA
"1204","Hagerstown, MD",27
"1205","Hailey, ID",800
"1206","Haines City, FL",100
"1207","Haines, AK",150
"1208","Halethorpe, MD",104
"1209","Half Moon Bay, CA",NA
"1210","Hamburg, PA",250
"1211","Hamden, CT",NA
"1212","Hamilton, MT",237.5
"1213","Hamilton, NJ",50
"1214","Hamilton, NY",200
"1215","Hamilton, OH",NA
"1216","Hammond, IN",NA
"1217","Hammond, LA",NA
"1218","Hampton, NH",200
"1219","Hampton, VA",NA
"1220","Hanalei, HI",400
"1221","Hancock, MI",NA
"1222","Hanford, CA",350
"1223","Hannibal, MO",NA
"1224","Hanover, NH",NA
"1225","Hanover, PA",152.333333333333
"1226","Happy Valley, OR",2000
"1227","Hardy, VA",12
"1228","Harlan, KY",100
"1229","Harlingen, TX",62.5
"1230","Harper Woods, MI",NA
"1231","Harrisburg, NC",NA
"1232","Harrisburg, PA",NA
"1233","Harrison, AR",NA
"1234","Harrisonburg, VA",741.333333333333
"1235","Harrisville, MI",100
"1236","Harrodsburg, KY",NA
"1237","Hartford, CT",NA
"1238","Hartwell, GA",NA
"1239","Harvard, NE",50
"1240","Harvey, LA",NA
"1241","Harwich, MA",200
"1242","Hasbrouck Heights, NJ",200
"1243","Hastings, NE",12
"1244","Hattiesburg, MS",NA
"1245","Haughton, LA",30
"1246","Hauppauge, NY",80
"1247","Haverhill, MA",NA
"1248","Havertown, PA",2000
"1249","Haviland, KS",50
"1250","Havre de Grace, MD",200
"1251","Havre, MT",100
"1252","Hawley, PA",200
"1253","Hawthorne, NJ",200
"1254","Hays, KS",100
"1255","Hayward, CA",NA
"1256","Hayward, WI",90
"1257","Hazard, KY",NA
"1258","Hazlet, NJ",101.5
"1259","Hazleton, PA",NA
"1260","Healdburg, CA",200
"1261","Healdsburg, CA",NA
"1262","Healy, AK",50
"1263","Hebron, CT",NA
"1264","Helena, MT",NA
"1265","Hellertown, PA",NA
"1266","Hemet, CA",250
"1267","Hempstead, NY",NA
"1268","Henderson, KY",NA
"1269","Henderson, NC",NA
"1270","Hendersonville, NC",258.333333333333
"1271","Henrico, VA",1000
"1272","Henryville, IN",50
"1273","Hermiston, OR",55
"1274","Hermitage, PA",NA
"1275","Hernando, MS",13
"1276","Herndon, VA",800
"1277","Herrin, IL",200
"1278","Hershey, PA",150
"1279","Hewlett, NY",74.3333333333333
"1280","Hiawassee, GA",50
"1281","Hibbing, MN",NA
"1282","Hickory, NC",NA
"1283","High Point, NC",NA
"1284","Highland Falls, NY",300
"1285","Highland Park, IL",NA
"1286","Highland Park, MI",600
"1287","Highland Park, NJ",1000
"1288","Highland, CA",400
"1289","Highland, IL",NA
"1290","Highland, IN",NA
"1291","Highstown, NJ",100
"1292","Hightstown, NJ",NA
"1293","Hilliard, OH",NA
"1294","Hillsboro, OH",200
"1295","Hillsboro, OR",NA
"1296","Hillsborough, NC",200
"1297","Hillsborough, NJ",NA
"1298","Hillsdale, MI",100
"1299","Hillside, NJ",NA
"1300","Hilo, HI",NA
"1301","Hinesburg, VT",300
"1302","Hinesville, GA",NA
"1303","Hingham, MA",5
"1304","Hinsdale, IL",NA
"1305","Hitchcock, TX",NA
"1306","Hobart, IN",NA
"1307","Hobe Sound, FL",200
"1308","Hoboken, NJ",2000
"1309","Holbrook, MA",NA
"1310","Holden, MA",NA
"1311","Holland, MI",1266.66666666667
"1312","Holland, OH",12
"1313","Hollidaysburg, PA",200
"1314","Hollister, CA",1000
"1315","Holly Springs, MS",NA
"1316","Holly Springs, NC",150
"1317","Hollywood, CA",2000
"1318","Hollywood, FL",NA
"1319","Holyoke, MA",1000
"1320","Homer, AK",NA
"1321","Homer, NY",70
"1322","Homestead, FL",200
"1323","Homewood, AL",200
"1324","Homewood, IL",300
"1325","Hondo, TX",NA
"1326","Honesdale, PA",200
"1327","Honesville, NY",200
"1328","Honolulu, HI",NA
"1329","Hood River, OR",NA
"1330","Hood Rivier, OR",550
"1331","Hoosick Falls, NY",24
"1332","Hoover, AL",94.4
"1333","Hopatcong, NJ",NA
"1334","Hopewell, NJ",NA
"1335","Hopkinsville, KY",NA
"1336","Hopkinton, MA",200
"1337","Hornell, NY",150
"1338","Horsham, PA",206
"1339","Hot Springs, AR",NA
"1340","Houghton, MI",NA
"1341","Houlton, ME",60
"1342","Houma, LA",83
"1343","Houston, TX",NA
"1344","Howe, TX",1
"1345","Howell, MI",106
"1346","Huber Heights, OH",350
"1347","Hudson, NY",166.666666666667
"1348","Hudson, OH",24
"1349","Humboldt, TN",75
"1350","Hummelstown, PA",150
"1351","Huntingdon, PA",NA
"1352","Huntington Beach, CA",NA
"1353","Huntington Station, NY",NA
"1354","Huntington Woods, MI",700
"1355","Huntington, IN",100
"1356","Huntington, NA",24
"1357","Huntington, NY",NA
"1358","Huntington, WV",200
"1359","Huntley, IL",NA
"1360","Huntsville, AL",NA
"1361","Huntsville, TX",NA
"1362","Huron, MI",200
"1363","Hutchinson, KS",NA
"1364","Hutto, TX",NA
"1365","Hyannis, MA",75
"1366","Hyattsville, MD",NA
"1367","Idaho Falls, ID",NA
"1368","Immokalee, FL",NA
"1369","Imperial Beach, CA",NA
"1370","Indiana, PA",485
"1371","Indianapolis, IA",300
"1372","Indianapolis, IN",NA
"1373","Indianola, MS",NA
"1374","Indiantown, FL",75
"1375","Indio, CA",40
"1376","Inglewood, CA",NA
"1377","Ionia, MI",12
"1378","Iowa City, IA",NA
"1379","Iron Mountain, MI",50
"1380","Ironwood, MI",NA
"1381","Irvine, CA",NA
"1382","Irwin, PA",250
"1383","Islip, NY",200
"1384","Issaquah, WA",NA
"1385","Ithaca, NY",NA
"1386","Itta Bena, MS",60
"1387","Jackson, MI",40
"1388","Jackson, MS",NA
"1389","Jackson, NJ",NA
"1390","Jackson, TN",153
"1391","Jackson, WY",NA
"1392","Jacksonville Beach, FL",200
"1393","Jacksonville, AL",24
"1394","Jacksonville, AR",36
"1395","Jacksonville, FL",NA
"1396","Jacksonville, IL",50
"1397","Jacksonville, NC",NA
"1398","Jacksonville, TX",200
"1399","Jamaica, NY",2000
"1400","Jamestown, ND",20
"1401","Jamestown, NY",NA
"1402","Jamestown, RI",50
"1403","Janesville, WI",24.6666666666667
"1404","Jasper, AL",NA
"1405","Jasper, IN",200
"1406","Jasper, TX",NA
"1407","Jeanette, PA",150
"1408","Jeannette, PA",40
"1409","Jefferson City, MO",NA
"1410","Jefferson, GA",75
"1411","Jefferson, TX",60
"1412","Jefferson, WI",35
"1413","Jeffersonville, GA",50
"1414","Jeffersonville, IN",NA
"1415","Jenison, MI",NA
"1416","Jenkintown, PA",NA
"1417","Jensen Beach, FL",NA
"1418","Jericho, VT",NA
"1419","Jersey City, NJ",NA
"1420","Jerseyville, IL",200
"1421","Jesup, GA",100
"1422","Jim Thorpe, PA",9
"1423","John Day, OR",100
"1424","Johnson City, TN",NA
"1425","Johnstown, PA",125
"1426","Joliet, IL",NA
"1427","Jonesboro, AR",NA
"1428","Jonesboro, GA",NA
"1429","Jonesborough, GA",NA
"1430","Joplin, MO",NA
"1431","Joshua Tree, CA",NA
"1432","Julian, CA",51
"1433","Junction City, KS",26
"1434","Juneau, AK",325
"1435","Jupiter Farms, FL",68
"1436","Jupiter, FL",130
"1437","Kahului, HI",125
"1438","Kailua-Kona, HI",NA
"1439","Kailua, HI",24
"1440","Kalamazoo, MI",NA
"1441","Kalispell, MT",425
"1442","Kanab, UT",100
"1443","Kane, PA",100
"1444","Kankakee, IL",200
"1445","Kansas City, KS",NA
"1446","Kansas City, MO",NA
"1447","Kansasville, WI",24
"1448","Kapolei, HI",NA
"1449","Kasson, MI",NA
"1450","Katonah, NY",NA
"1451","Katy, TX",3000
"1452","Keansburg, NJ",200
"1453","Kearney, NE",30
"1454","Keene, NH",NA
"1455","Keller, TX",3000
"1456","Kelso, WA",60
"1457","Kenly, NC",200
"1458","Kennebunk, ME",NA
"1459","Kennesaw, GA",NA
"1460","Kennett Square, PA",1000
"1461","Kennewick, WA",NA
"1462","Kenosha, WI",NA
"1463","Kent, CT",NA
"1464","Kent, OH",NA
"1465","Keokuk, IA",NA
"1466","Kerrville, TX",NA
"1467","Ketchikan, AK",103
"1468","Ketchum, ID",450
"1469","Kettering, OH",200
"1470","Kewanee, IL",NA
"1471","Kewaunee, WI",12.6666666666667
"1472","Key Largo, FL",NA
"1473","Key West, FL",NA
"1474","Keyser, WV",NA
"1475","Keystone, SD",NA
"1476","Kiel, WI",100
"1477","Kilgore, TX",24
"1478","Killeen, TX",NA
"1479","Killingly, CT",NA
"1480","Kilmarnock, VA",300
"1481","Kinderhook, NY",NA
"1482","King George, VA",NA
"1483","King of Prussia, PA",106
"1484","King, NC",200
"1485","Kingman, AZ",24
"1486","Kingston, NY",NA
"1487","Kingston, PA",27
"1488","Kingsville, TX",200
"1489","Kinston, NC",200
"1490","Kirkland, WA",NA
"1491","Kirksville, MO",200
"1492","Kirkwood, MO",933.333333333333
"1493","Kissimmee, FL",500
"1494","Kittanning, PA",NA
"1495","Klamath Falls, OR",NA
"1496","Knightdale, NC",100
"1497","Knoxville, TN",NA
"1498","Kodiak, AK",5
"1499","Kokomo, IN",NA
"1500","Kotzebue, AK",30
"1501","Kremmling, CO",6
"1502","Kresgeville, PA",NA
"1503","Kutztown, PA",200
"1504","La Center, WA",50
"1505","La Conner, WA",NA
"1506","La Crosse, WI",NA
"1507","La Grande, OR",NA
"1508","La Grange, IL",375
"1509","La Habra, CA",200
"1510","La Marque, TX",NA
"1511","La Mesa, CA",323
"1512","La Plata, MD",NA
"1513","La Porte, IN",200
"1514","La Porte, TX",NA
"1515","La Puente, CA",100
"1516","La Quinta, CA",55
"1517","La Salle, IL",NA
"1518","La Verne, CA",475
"1519","Laconia, NH",NA
"1520","LaCrosse, WI",NA
"1521","Ladue, MO",250
"1522","Lafayette Hill, PA",262.5
"1523","Lafayette, CA",NA
"1524","Lafayette, CO",NA
"1525","Lafayette, IA",400
"1526","Lafayette, IN",NA
"1527","Lafayette, LA",NA
"1528","LaGrange, GA",NA
"1529","LaGrange, KY",5
"1530","Laguna Beach, CA",250
"1531","Laguna Niguel, CA",212
"1532","Laguna Woods, CA",NA
"1533","Lake Arthur, LA",150
"1534","Lake Buena Vista, FL",NA
"1535","Lake Charles, LA",NA
"1536","Lake City, FL",NA
"1537","Lake Elsinore, CA",100
"1538","Lake Forest, CA",NA
"1539","Lake Forest, IL",200
"1540","Lake Forest, WA",NA
"1541","Lake Havasu City, CA",175
"1542","Lake Havasu, AZ",NA
"1543","Lake Mills, WI",NA
"1544","Lake Orion, MI",200
"1545","Lake Oswego, OR",NA
"1546","Lake Placid, NY",NA
"1547","Lake Station, IN",NA
"1548","Lake Stevens, WA",200
"1549","Lake Worth Beach, FL",40
"1550","Lake Worth, FL",250
"1551","Lakeland, FL",1100
"1552","Lakeview, OR",30
"1553","Lakewood, CA",300
"1554","Lakewood, NJ",200
"1555","Lakewood, OH",NA
"1556","Lambertville, MI",300
"1557","Lambertville, NJ",NA
"1558","Lampasas, TX",NA
"1559","Lancaster Township, PA",NA
"1560","Lancaster, CA",NA
"1561","Lancaster, OH",NA
"1562","Lancaster, PA",NA
"1563","Lander, WY",NA
"1564","Landover, MD",NA
"1565","Lansdale, PA",NA
"1566","Lansdowne, PA",1000
"1567","Lansford, PA",12
"1568","Lansing, MI",NA
"1569","Lapeer, MI",NA
"1570","LaPlace, LA",NA
"1571","Laramie, WY",NA
"1572","Laredo, TX",NA
"1573","Largo, FL",NA
"1574","Larkspur, CA",NA
"1575","Las Cruces, NM",NA
"1576","Las Vegas, NV",NA
"1577","Lathrop, CA",NA
"1578","Latrobe, PA",100
"1579","Lauderhill, FL",NA
"1580","Laurel, MD",2000
"1581","Laurel, MS",NA
"1582","Laurinburg, NC",NA
"1583","Lawrence, KS",NA
"1584","Lawrence, MA",NA
"1585","Lawrenceville, GA",500
"1586","Lawrenceville, VA",125
"1587","Lawton, OK",NA
"1588","Le Mars, IA",NA
"1589","League City, TX",NA
"1590","Leavenworth, KS",80
"1591","Leavenworth, WA",1300
"1592","Lebanon, OH",200
"1593","Lebanon, OR",216.666666666667
"1594","Lebanon, PA",NA
"1595","Lebanon, VA",50
"1596","Lebec, CA",NA
"1597","Ledyard, CT",NA
"1598","Lee's Summit, MO",NA
"1599","Leesburg, FL",300
"1600","Leesburg, VA",1500
"1601","Leesville, LA",NA
"1602","Lehigh Acres, FL",20
"1603","Lehighton, PA",23
"1604","Leitchfield, KY",100
"1605","Lemoore, CA",200
"1606","Lenoir, NC",NA
"1607","Leominster, MA",200
"1608","Leonardtown, MD",2250
"1609","Levelland, TX",15
"1610","Levittown, NY",24
"1611","Levittown, PA",50
"1612","Lewisburg, PA",NA
"1613","Lewisburg, WV",NA
"1614","Lewiston, ID",NA
"1615","Lewiston, ME",NA
"1616","Lewistown, PA",NA
"1617","Lewisville, TX",NA
"1618","Lexington, KY",NA
"1619","Lexington, MA",NA
"1620","Lexington, NC",NA
"1621","Lexington, VA",200
"1622","Libby, MT",NA
"1623","Liberal, KS",100
"1624","Liberty, OH",50
"1625","Lidenhurst, NY",200
"1626","Lihue, HI",NA
"1627","Lima, OH",NA
"1628","Lincoln Park, MI",600
"1629","Lincoln, NE",NA
"1630","Linden, NJ",NA
"1631","Lisbon, OH",3
"1632","Litchfield, CT",300
"1633","Lititz, PA",200
"1634","Little Elm, TX",NA
"1635","Little Rock, AR",NA
"1636","Littleton, NH",NA
"1637","Livermore, CA",NA
"1638","Livingston Manor, NY",NA
"1639","Livingston, NJ",162.5
"1640","Livonia, MI",446.6
"1641","Lock Haven, PA",166.666666666667
"1642","Lockhart, TX",100
"1643","Lockport, NY",24
"1644","Lodi, CA",NA
"1645","Logan, UT",100
"1646","Logan, WV",30
"1647","Lompoc, CA",NA
"1648","London, KY",NA
"1649","Londonderry, NH",250
"1650","Long Beach Island, NJ",733
"1651","Long Beach, CA",NA
"1652","Long Beach, NY",1100
"1653","Long Beach, WA",70
"1654","Long Branch, NJ",NA
"1655","Long Island City, NY",200
"1656","Longmeadow, MA",NA
"1657","Longmont, CO",NA
"1658","Longmount, CO",100
"1659","Longs, SC",28
"1660","Longview, MI",80
"1661","Longview, TX",NA
